Turn,y_true,moef_prediction
167,1.0,0.7608370590820399
168,1.0,0.6147686818883769
169,1.0,0.8283725449404843
170,0.5,0.4929678076928022
171,0.5,0.4265489761923421
172,0.0,0.1857903166747057
173,0.0,0.1751179922820417
174,0.5,0.5213113854878844
175,0.5,0.5881799777727136
176,1.0,0.8331171225139737
177,1.0,0.815487535675199
178,1.0,0.8331086238044233
179,1.0,0.804499779372859
180,1.0,0.8446375965030364
181,1.0,0.8423167911868863
182,1.0,0.7783411590250429
183,1.0,0.8446375965030364
184,0.5,0.579711449797466
185,0.5,0.433529159571078
186,0.5,0.4185167634703705
187,1.0,0.7587501138298467
188,0.5,0.493572439347333
189,0.0,0.2048964963814219
190,0.0,0.2031133627273921
191,0.0,0.2263991620432185
192,0.0,0.1553624034969636
193,0.0,0.259967208737858
194,0.5,0.4180241686508828
195,0.5,0.4415298309493926
196,0.0,0.2269987577121781
197,0.0,0.161454238464494
198,0.5,0.550422802227281
199,0.0,0.1887708188902294
200,0.0,0.1553624034969636
201,0.5,0.5095345936865118
202,1.0,0.7908843825291112
203,1.0,0.8446375965030364
204,1.0,0.8262670772956406
205,0.5,0.4342960470725069
206,0.5,0.507566909876627
207,0.5,0.4611842012548015
208,0.5,0.3682033765808955
209,1.0,0.8145440934528794
210,1.0,0.68087366643074
211,1.0,0.8407168607802661
212,1.0,0.7661031607831619
213,1.0,0.8446375965030364
214,1.0,0.7818273981458639
215,1.0,0.7648242599605697
216,1.0,0.7919781252684881
217,0.5,0.5436489279956547
218,0.5,0.4716730692478998
219,0.5,0.4410322992201198
220,1.0,0.8293723070946086
221,0.5,0.5206713342914365
222,0.5,0.5005060570508735
223,0.5,0.4076853002205173
224,0.5,0.5896202381648302
225,0.0,0.2422878453315735
226,0.5,0.3862509788786468
227,0.0,0.1559892566885308
228,0.5,0.3815545246601464
229,0.5,0.4696564751846072
230,0.0,0.1922475243981413
231,0.0,0.1794468489210134
232,0.5,0.4488987307232046
233,0.5,0.4312243326703888
234,1.0,0.8438079718969282
235,1.0,0.8278170613410025
236,0.5,0.5481933191504067
237,0.5,0.4824919706182856
238,0.5,0.4712818438803441
239,0.5,0.549749048064763
240,0.0,0.1820337174997092
241,0.5,0.5064207755735699
242,0.5,0.4159845459852734
243,1.0,0.8446375965030364
244,0.5,0.4517601441454113
245,0.5,0.5816832621403574
246,0.5,0.5650262192008341
247,0.0,0.2060697642905604
248,0.5,0.3881767153426057
249,0.5,0.5562139802814663
250,0.5,0.5147931852318379
251,1.0,0.757058242528235
