Turn,y_true,moef_prediction
122,1.0,0.8363354640431444
123,0.5,0.4947068421925258
124,0.5,0.6838602964940947
125,1.0,0.6767334214912867
126,1.0,0.7472238684153795
127,0.5,0.4318455463336274
128,1.0,0.8246527023283446
129,0.5,0.4194978801218966
130,0.0,0.2568578798477453
131,0.0,0.2548162398266497
132,0.0,0.1611665272265318
133,0.0,0.2863729431038059
134,0.0,0.1862449205321528
135,0.5,0.4436436514549373
136,0.5,0.5931987524152215
137,0.5,0.4344332281221409
138,0.5,0.5789431010821106
139,0.5,0.4052055340916997
140,0.0,0.1735250644397752
141,0.5,0.5243235832466657
142,0.5,0.5018568467004478
143,0.5,0.5599655644764843
144,0.5,0.45176405239224
145,1.0,0.6759815972308392
146,0.0,0.2077622365883495
147,0.0,0.2932827587669376
148,0.5,0.5761314834308828
149,0.5,0.608207129342606
150,0.0,0.1731817454741087
151,0.5,0.5814161031264887
152,0.5,0.4169643223943737
153,0.5,0.5466770783975419
154,0.5,0.4304996262569371
155,0.5,0.4740013011046756
156,1.0,0.8020619723183136
157,1.0,0.8100943592168046
158,0.5,0.4705828718648218
159,1.0,0.8081505936428652
160,0.5,0.470177270019197
161,0.5,0.5465393515867859
162,0.5,0.5836761649420081
163,0.5,0.4040646567878757
164,1.0,0.8154912805299086
165,1.0,0.843514446740683
166,1.0,0.7984433602734496
167,1.0,0.7491191434403639
168,1.0,0.7324278097656651
169,1.0,0.8373788012424601
170,0.5,0.4760455425428346
171,0.5,0.4741515279766484
172,0.0,0.1553624034969636
173,0.0,0.3121680485029924
174,0.5,0.5306860733666513
175,0.5,0.5553274942810268
176,1.0,0.8446375965030364
177,1.0,0.8161803126519107
178,1.0,0.7730263513152279
179,1.0,0.835820194416696
180,1.0,0.816612128482251
181,1.0,0.7910844861606112
182,1.0,0.8430792479821562
183,1.0,0.8446375965030364
184,0.5,0.4763705538810063
185,0.5,0.6152878679577998
186,0.5,0.5806990587786365
187,1.0,0.7533232829364427
188,0.5,0.4814746259803307
189,0.0,0.1633167432536185
190,0.0,0.2132455973249457
191,0.0,0.2329018113873378
192,0.0,0.2416629915632672
193,0.0,0.2584107845477962
194,0.5,0.4297424117823062
195,0.5,0.5538363028926211
196,0.0,0.1981410663920314
197,0.0,0.1558005691440745
198,0.5,0.468876033076629
199,0.0,0.1791658484227137
200,0.0,0.1610173322319593
201,0.5,0.3796058337054633
202,1.0,0.8462818591479604
203,1.0,0.8446375965030364
204,1.0,0.8369000537263794
205,0.5,0.4548730757345054
206,0.5,0.5239957654201277
207,0.5,0.4624213865374761
208,0.5,0.588022292671671
209,1.0,0.710808810494128
210,1.0,0.6967942830034861
211,1.0,0.8111184903043015
212,1.0,0.8362256656737603
213,1.0,0.8125614607008737
214,1.0,0.7666548985796058
215,1.0,0.795721210078877
216,1.0,0.8134193163052093
217,0.5,0.457424455988914
218,0.5,0.517508019196962
219,0.5,0.3699437331051736
220,1.0,0.8446375965030364
221,0.5,0.5198034979795443
222,0.5,0.509358380581636
223,0.5,0.5347117327339794
224,0.5,0.56273910333581
225,0.0,0.1527847715865194
226,0.5,0.4791640075799679
227,0.0,0.1702606623159452
228,0.5,0.520955888309717
229,0.5,0.4552915052897571
230,0.0,0.1599974545920443
231,0.0,0.179550503152363
232,0.5,0.5057763511149003
233,0.5,0.4521832955866564
234,1.0,0.835787964250269
235,1.0,0.7103475069906064
236,0.5,0.4818248816227859
237,0.5,0.442617226794892
238,0.5,0.5583490478470335
239,0.5,0.4940992691066877
240,0.0,0.2289218269421425
241,0.5,0.4224954774854036
242,0.5,0.5690035536829459
243,1.0,0.8143643903799034
244,0.5,0.5657417998666325
245,0.5,0.4982343495247858
246,0.5,0.543483942247744
247,0.0,0.2013831759898404
248,0.5,0.6515346793933795
249,0.5,0.4617861131705257
250,0.5,0.3898571190016838
251,1.0,0.7289661523482928
